,pub_year,pub_month,journal_name,paper_title,author
0,2020,08,Science and engineering ethics,"From What to How: An Initial Review of Publicly Available AI Ethics Tools, Methods and Research to Translate Principles into Practices","UK.OX1 3JS.Jessica.Morley,UK.OX1 3JS.Luciano.Floridi,UK.NW1 2RA.Libby.Kinsey,UK.NW1 2RA.Anat.Elhalal"
1,2020,08,Science and engineering ethics,Researchers' Perceptions of Ethical Authorship Distribution in Collaborative Research Teams,"USA.27709.Elise.Smith,Canada.H3C 3J7.Bryn.Williams-Jones,USA.55905.Zubin.Master,Canada.H3C 3J7.Vincent.Larivière,USA.47408.Cassidy R.Sugimoto,Canada.H3C 3J7.Adèle.Paul-Hus,USA.27709.Min.Shi,USA.27709.Elena.Diller,USA.27709.Katie.Caudle,USA.27709.David B.Resnik"
2,2020,08,Science and engineering ethics,Misconduct and Misbehavior Related to Authorship Disagreements in Collaborative Science,"USA.27709.Elise.Smith,Canada.H3C 3J7.Bryn.Williams-Jones,USA.55905.Zubin.Master,Canada.H3C 3J7.Vincent.Larivière,USA.47408.Cassidy R.Sugimoto,Canada.H3C 3J7.Adèle.Paul-Hus,USA.27709.Min.Shi,USA.27709.David B.Resnik"
3,2020,6,Science China. Life sciences,Multiplex genome editing using a dCas9-cytidine deaminase fusion in Streptomyces,"China.200234.Yawei.Zhao,China.200032.Jinzhong.Tian,China.200032.Guosong.Zheng,China.200234.Jun.Chen,China.200234.Chuanwen.Sun,China.318000.Zhongyi.Yang,Russia.142290.Andrei A.Zimin,China.200032.Weihong.Jiang,China.200030.Zixin.Deng,China.200030.Zhijun.Wang,China.200234.Yinhua.Lu"
4,2020,5,Science China. Life sciences,"Oxidative stress, nutritional antioxidants and beyond","China.410125.Qiuping.Guo,China.410125.Fengna.Li,China.410125.Yehui.Duan,China.410018.Chaoyue.Wen,China.410018.Wenlong.Wang,China.410125.Lingyu.Zhang,China.410125.Ruilin.Huang,China.410125.Yulong.Yin"
5,2020,5,Science China. Life sciences,Haploidentical hematopoietic cell transplantation for severe acquired aplastic anemia: a case-control study of post-transplant cyclophosphamide included regimen vs. anti-thymocyte globulin & colony-stimulating factor-based regimen,"China.100044.Lanping.Xu,China.410008.Bin.Fu,China.100044.Wenjing.Wang,China.410008.Yajing.Xu,China.215000.Depei.Wu,China.510180.Shunqing.Wang,China.510515.Qifa.Liu,China.430022.Linghui.Xia,China.130021.Sujun.Gao,China.830054.Ming.Jiang,China.200000.Jianmin.Wang,China.400037.Xi.Zhang,China.730050.Hai.Bai,China.100700.Huiren.Chen,China.510515.Chunfu.Li,China.100044.Xiaojun.Huang"
6,2020,06,Science and engineering ethics,Novice Researchers' Views About Online Ethics Education and the Instructional Design Components that May Foster Ethical Practice,"Israel.Haifa.Miri.Barak,Israel.Haifa.Gizell.Green"
7,2020,4,Science China. Life sciences,Nuclear miR-665 aggravates heart failure via suppressing phosphatase and tensin homolog transcription,"China.430030.Jiahui.Fan,China.430030.Xudong.Zhang,China.430030.Xiang.Nie,China.430030.Huaping.Li,China.430030.Shuai.Yuan,China.430030.Beibei.Dai,China.430030.Jiabing.Zhan,China.430030.Zheng.Wen,China.430030.Jiangang.Jiang,China.430030.Chen.Chen,China.430030.Daowen.Wang"
8,2020,4,Science China. Life sciences,Building a sequence map of the pig pan-genome from multiple de novo assemblies and Hi-C data,"China.712100.Xiaomeng.Tian,China.712100.Ran.Li,China.712100.Weiwei.Fu,China.611130.Yan.Li,China.712100.Xihong.Wang,China.712100.Ming.Li,China.712100.Duo.Du,China.611130.Qianzi.Tang,China.712100.Yudong.Cai,China.712100.Yiming.Long,China.712100.Yue.Zhao,China.611130.Mingzhou.Li,China.712100.Yu.Jiang"
9,2020,4,Science & justice : journal of the Forensic Science Society,Evaluation of 19 short tandem repeat markers for individualization of Papaver somniferum,"United States.TX 77340-2525.Blake.Young,United States.TX 77340-2525.Madeline G.Roman,United States.TX 77340-2525.Bobby.LaRue,United States.TX 77340-2525.David.Gangitano,United States.TX 77340-2525.Rachel.Houston"
