,pub_year,pub_month,journal_name,paper_title,author
0,2021,5,Cellular & molecular immunology,Serum-circulating His-tRNA synthetase inhibits organ-targeted immune responses,"USA.92121.Ryan A.Adams,Sweden.Stockholm.Cátia.Fernandes-Cerqueira,Sweden.Stockholm.Antonella.Notarnicola,USA.92121.Elisabeth.Mertsching,USA.92121.Zhiwen.Xu,China.Hong Kong.Wing-Sze.Lo,USA.92121.Kathleen.Ogilvie,USA.92121.Kyle P.Chiang,USA.92121.Jeanette.Ampudia,USA.92121.Sanna.Rosengren,USA.92121.Andrea.Cubitt,USA.92121.David J.King,USA.92121.John D.Mendlein,USA.92037.Xiang-Lei.Yang,USA.92121.Leslie A.Nangle,Sweden.Stockholm.Ingrid E.Lundberg,Sweden.Stockholm.Per-Johan.Jakobsson,USA.92037.Paul.Schimmel"
1,2021,5,Cellular & molecular immunology,MicroRNA-33/33* inhibit the activation of MAVS through AMPK in antiviral innate immunity,"China.310058.Danhui.Liu,China.310058.Qinchun.Tan,China.310030.Jie.Zhu,China.310052.Yuanyuan.Zhang,China.310058.Yue.Xue,China.310058.Yinjing.Song,China.310058.Yang.Liu,China.310058.Qingqing.Wang,China.310058.Lihua.Lai"
2,2021,3,Cellular & molecular immunology,NLRP3 inflammasome blockade reduces adipose tissue inflammation and extracellular matrix remodeling,"Spain.Pamplona.Xabier.Unamuno,Spain.Pamplona.Javier.Gómez-Ambrosi,Spain.Pamplona.Beatriz.Ramírez,Spain.Pamplona.Amaia.Rodríguez,Spain.Pamplona.Sara.Becerril,Spain.Pamplona.Víctor.Valentí,Spain.Pamplona.Rafael.Moncada,Spain.Pamplona.Camilo.Silva,Spain.Pamplona.Javier.Salvador,Spain.Pamplona.Gema.Frühbeck,Spain.Pamplona.Victoria.Catalán"
3,2021,1,Cellular & molecular immunology,The intragraft vascularized bone marrow component plays a critical role in tolerance induction after reconstructive transplantation,"China.Taiwan.Cheng-Hung.Lin,China.Taiwan.Madonna R.Anggelia,China.Taiwan.Hui-Yun.Cheng,China.Taiwan.Aline Yen Ling.Wang,China.Taiwan.Wen-Yu.Chuang,China.Taiwan.Chih-Hung.Lin,United States.MD.W P Andrew.Lee,China.Taiwan.Fu-Chan.Wei,United States.MD.Gerald.Brandacher"
4,2021,1,Cellular & molecular immunology,CUL4B negatively regulates Toll-like receptor-triggered proinflammatory responses by repressing Pten transcription,"China.Shandong.Yu.Song,China.Shandong.Peishan.Li,China.Shandong.Liping.Qin,China.Shandong.Zhiliang.Xu,China.Shandong.Baichun.Jiang,China.Shandong.Chunhong.Ma,China.Jiangsu.Changshun.Shao,China.Shandong.Yaoqin.Gong"
5,2021,1,Cellular & molecular immunology,Intrinsic T-cell regulator miR-142-3p/5p - a novel therapeutic target,"Germany.Essen.Sebastian.Dolff,Netherlands.Groningen.Wayel H.Abdulahad,Germany.Essen.Benjamin.Wilde"
6,2021,1,Cellular & molecular immunology,A novel mechanism of EAE resistance highlights the conflicting roles of progranulin-mediated immunosuppression and antigen processing,"USA.10003.Aubryanna.Hettinghouse,USA.10003.Guanmin.Gao,USA.10003.Chuan-Ju.Liu"
7,2021,0,Cellular & molecular immunology,HBsAg-specific CD8<sup>+</sup> T cells as an indispensable trigger to induce murine hepatocellular carcinoma,"China.Anhui.Xiaolei.Hao,China.Anhui.Yongyan.Chen,China.Anhui.Lu.Bai,China.Anhui.Haiming.Wei,China.Anhui.Rui.Sun,China.Anhui.Zhigang.Tian"
8,2021,0,Cellular & molecular immunology,FOXP3 protects conventional human T cells from premature restimulation-induced cell death,"USA.20817.Kelsey.Voss,USA.20817.Camille.Lake,USA.20817.Christopher R.Luthers,USA.MD.Nathaniel M.Lott,USA.20817.Batsukh.Dorjbal,USA.20817.Swadhinya.Arjunaraja,USA.20817.Bradly M.Bauman,USA.MD.Anthony R.Soltis,USA.MD.Gauthaman.Sukumar,USA.MD.Clifton L.Dalgard,USA.20817.Andrew L.Snow"
9,2021,0,Cellular & molecular immunology,Bcl10 is required for the development and suppressive function of Foxp3<sup>+</sup> regulatory T cells,"China.100084.Dandan.Yang,China.100084.Xueqiang.Zhao,China.100084.Xin.Lin"
10,2021,0,Cellular & molecular immunology,DAPK1 (death associated protein kinase 1) mediates mTORC1 activation and antiviral activities in CD8<sup>+</sup> T cells,"China.430030.Zhengping.Wei,China.430030.Pingfei.Li,China.430030.Ran.He,China.430030.Huicheng.Liu,China.430030.Na.Liu,China.430030.Yu.Xia,China.430030.Guoyu.Bi,China.430030.Qiuyang.Du,China.430030.Minghui.Xia,China.430030.Lei.Pei,China.430030.Jing.Wang,China.430030.Guihua.Wang,China.430030.Zhao-Hui.Tang,China.430030.Xiang.Cheng,China.200433.Huabin.Li,China.430030.Zhuoya.Li,China.400038.Lilin.Ye,UK.London.Arian.Laurence,China.430030.Youming.Lu,China.430030.Xiang-Ping.Yang"
11,2021,0,Cellular & molecular immunology,Suppression of monosodium urate crystal-induced inflammation by inhibiting TGF-β-activated kinase 1-dependent signaling: role of the ubiquitin proteasome system,"USA.WA.Anil K.Singh,USA.WA.Mahamudul.Haque,USA.WA.Kayla.O'Sullivan,India.Uttar Pradesh.Mukesh.Chourasia,USA.CA.Madhu M.Ouseph,USA.WA.Salahuddin.Ahmed"
12,2020,12,Cellular & molecular immunology,Jagged1-mediated myeloid Notch1 signaling activates HSF1/Snail and controls NLRP3 inflammasome activation in liver inflammatory injury,"USA.CA.Yuting.Jin,USA.CA.Changyong.Li,USA.CA.Dongwei.Xu,USA.CA.Jianjun.Zhu,USA.CA.Song.Wei,USA.CA.Andrew.Zhong,USA.CA.Mingwei.Sheng,USA.CA.Sergio.Duarte,USA.CA.Ana J.Coito,USA.CA.Ronald W.Busuttil,China.Shanghai.Qiang.Xia,USA.CA.Jerzy W.Kupiec-Weglinski,USA.CA.Bibo.Ke"
13,2020,12,Cellular & molecular immunology,Macrophages reprogrammed by lung cancer microparticles promote tumor development via release of IL-1β,"China.Wuhan.Jie.Chen,China.Wuhan.Weiwei.Sun,China.Wuhan.Huafeng.Zhang,China.Wuhan.Jingwei.Ma,China.Wuhan.Pingwei.Xu,China.Wuhan.Yuandong.Yu,China.Wuhan.Haiqing.Fang,China.Wuhan.Li.Zhou,China.Beijing.Jiadi.Lv,China.Beijing.Jing.Xie,China.Beijing.Yuying.Liu,China.Wuhan.Ke.Tang,China.Wuhan.Bo.Huang"
14,2020,12,Cellular & molecular immunology,The transcription factor Zfp281 sustains CD4<sup>+</sup> T lymphocyte activation through directly repressing Ctla-4 transcription,"China.Hangzhou.Jing.Guo,China.Hangzhou.Zhonghui.Xue,China.Hangzhou.Ruoyu.Ma,China.Hangzhou.Weiwei.Yi,China.Hangzhou.Zhaoyuan.Hui,China.Hangzhou.Yixin.Guo,China.Hangzhou.Yuxi.Yao,China.Hangzhou.Wenqiang.Cao,China.Hangzhou.Jianli.Wang,China.Guangzhou.Zhenyu.Ju,China.Hangzhou.Linrong.Lu,China.Hangzhou.Lie.Wang"
15,2020,11,Cellular and molecular life sciences : CMLS,Integrative genomics reveal a role for MCPIP1 in adipogenesis and adipocyte metabolism,"Poland.Kraków.Magdalena.Losko,Poland.Kraków.Dobrochna.Dolicka,Poland.Kraków.Natalia.Pydyn,Poland.Kraków.Urszula.Jankowska,Poland.Kraków.Sylwia.Kedracka-Krok,Poland.Warsaw.Maria.Kulecka,Poland.Warsaw.Agnieszka.Paziewska,Poland.Warsaw.Michal.Mikula,Poland.Kraków.Piotr.Major,Poland.Kraków.Marek.Winiarski,Poland.Kraków.Andrzej.Budzynski,Poland.Kraków.Jolanta.Jura"
16,2020,11,Cellular & molecular immunology,Cancer-derived sialylated IgG promotes tumor immune escape by binding to Siglecs on effector T cells,"China.100191.Zihan.Wang,China.100191.Zihan.Geng,China.100191.Wenwei.Shao,China.100191.Enyang.Liu,China.100191.Jingxuan.Zhang,China.100191.Jingshu.Tang,China.100191.Pingzhang.Wang,China.100191.Xiuyuan.Sun,China.100021.Lin.Xiao,China.100191.Weiyan.Xu,China.100021.Youhui.Zhang,China.100044.Heng.Cui,China.518057.Liang.Zhang,China.518057.Xi.Yang,China.100044.Xiaohong.Chang,China.100191.Xiaoyan.Qiu"
17,2020,11,Cellular & molecular immunology,REGγ controls Th17 cell differentiation and autoimmune inflammation by regulating dendritic cells,"P.Shanghai.Lei.Zhou,P.Shanghai.Liangfang.Yao,P.Guangdong Province.Qing.Zhang,P.Shanghai.Wei.Xie,P.Shanghai.Xiaoshuang.Wang,P.Shanghai.Huihui.Zhang,P.Shanghai.Jinjin.Xu,P.Shanghai.Qingxia.Lin,P.Shanghai.Qing.Li,P.Shanghai.Yang.Xuan,P.Shanghai.Lei.Ji,P.Shanghai.Lu.Wang,P.Shanghai.Weicang.Wang,P.Shanghai.Weichao.Wang,P.Shanghai.Tingting.Shi,P.Shanghai.Lei.Fang,P.Shanghai.Biao.Zheng,P.Shanghai.Lei.Li,P.Guangdong Province.Shuang.Liu,P.Shanghai.Bianhong.Zhang,P.Shanghai.Xiaotao.Li"
18,2020,11,Cellular & molecular immunology,SNX8 modulates the innate immune response to RNA viruses by regulating the aggregation of VISA,"China.Wuhan.Wei.Guo,China.Wuhan.Jin.Wei,China.Wuhan.Xuan.Zhong,China.Wuhan.Ru.Zang,China.Wuhan.Huan.Lian,China.Wuhan.Ming-Ming.Hu,China.Wuhan.Shu.Li,China.Wuhan.Hong-Bing.Shu,China.Wuhan.Qing.Yang"
19,2020,11,Cellular & molecular immunology,The tumor biochemical and biophysical microenvironments synergistically contribute to cancer cell malignancy,"P.Sichuan.Xiang.Qin,P.Sichuan.Tingting.Li,P.Sichuan.Shun.Li,P.Sichuan.Hong.Yang,P.Sichuan.Chunhui.Wu,P.Sichuan.Chuan.Zheng,P.Sichuan.Fengming.You,P.Sichuan.Yiyao.Liu"
20,2020,9,Cell journal,"Endoplasmic Reticulum Stress Induces miR-706, A Pro-Cell Death microRNA, in A Protein Kinase RNA-Like ER Kinase (PERK) and Activating Transcription Factor 4 (ATF4) Dependent Manner","China.Liaoning.Xiu.Wang,People's Republic of China (CHN).Shenyang.Yi.Han,People's Republic of China (CHN).Shenyang.Guodong.Hu,China.Liaoning.Jianbo.Guo,People's Republic of China (CHN).Shenyang.Hongyu.Chen"
21,2020,9,Cell journal,Gene Expression Microarray Data Meta-Analysis Identifies Candidate Genes and Molecular Mechanism Associated with Clear Cell Renal Cell Carcinoma,"China.Zhejiang.Ying.Wang,China.Zhejiang.Haibin.Wei,China.Zhejiang.Lizhi.Song,China.Zhejiang.Lu.Xu,China.Zhejiang.Jingyao.Bao,China.Zhejiang.Jiang.Liu"
22,2020,9,Cell journal,lncRNA Metastasis-Associated Lung Adenocarcinoma Transcript 1 Promotes Proliferation and Invasion of Non-Small Cell Lung Cancer Cells via Down-Regulating miR-202 Expression,"PR China.Guangzhou.Guo.Tiansheng,PR China.Guangzhou.Huang.Junming,PR China.Guangzhou.Wan.Xiaoyun,PR China.Guangzhou.Chen.Peixi,PR China.Guangzhou.Du.Shaoshan,PR China.Guangzhou.Chen.Qianping"
23,2020,9,Cell journal,Quality of Blastocysts Created by Embryo Splitting: A Time-Lapse Monitoring and Chromosomal Aneuploidy Study,"Iran.Yazd.Marjan.Omidi,Iran.Yazd.Mohammad Ali.Khalili,Iran.Tehran.Iman.Halvaei,Iran.Yazd.Fatemeh.Montazeri,Iran.Yazd.Seyed Mehdi.Kalantar"
