,pub_year,pub_month,journal_name,paper_title,author
0,2019,12,PLoS genetics,Identification of avoidance genes through neural pathway-specific forward optogenetics,"Switzerland.Fribourg.Filipe.Marques,Switzerland.Fribourg.Gabriella.Saro,Switzerland.Fribourg.Andrei-Stefan.Lia,United Kingdom.London.Richard J.Poole,Switzerland.Fribourg.Laurent.Falquet,Switzerland.Fribourg.Dominique A.Glauser"
1,2019,12,PLoS medicine,Personalized public health: An implementation research agenda for the HIV response and beyond,"United States of America.Missouri.Elvin H.Geng,DC.Washington.Charles B.Holmes,Republic of South Africa.University of KwaZulu Natal.Mosa.Moshabela,Zambia.Lusaka.Izukanji.Sikazwe,United States of America.California.Maya L.Petersen"
2,2019,12,PLoS medicine,Ambient particulate matter pollution and adult hospital admissions for pneumonia in urban China: A national time series analysis for 2014 through 2017,"China.Wuhan.Yaohua.Tian,China.Beijing.Hui.Liu,China.Beijing.Yiqun.Wu,China.Beijing.Yaqin.Si,China.Beijing.Man.Li,China.Beijing.Yao.Wu,China.Beijing.Xiaowen.Wang,China.Beijing.Mengying.Wang,China.Beijing.Libo.Chen,China.Beijing.Chen.Wei,China.Beijing.Tao.Wu,China.Beijing.Pei.Gao,China.Beijing.Yonghua.Hu"
3,2019,12,PLoS medicine,"Opioid-related treatment, interventions, and outcomes among incarcerated persons: A systematic review","Canada.Ontario.Monica.Malta,Canada.Ontario.Thepikaa.Varatharajan,Canada.Ontario.Cayley.Russell,Canada.Ontario.Michelle.Pang,Canada.Ontario.Sarah.Bonato,Canada.British Columbia.Benedikt.Fischer"
4,2019,12,PLoS medicine,Chemotherapy effectiveness in trial-underrepresented groups with early breast cancer: A retrospective cohort study,"United Kingdom.Manchester.Ewan.Gray,Switzerland.Lausanne.Joachim.Marti,United Kingdom.Southhampton.Jeremy C.Wyatt,United Kingdom.Edinburgh.David H.Brewster,United Kingdom.Edinburgh.Peter S.Hall,None.None.None.None"
5,2019,12,PLoS medicine,Variability in the use of pulse oximeters with children in Kenyan hospitals: A mixed-methods analysis,"United Kingdom (former DPhil student).Oxford.Abigail J.Enoch,Kenya.Nairobi.Mike.English,None.None.None.None,United Kingdom.Coventry.Gerald.McGivern,United Kingdom.Oxford.Sasha.Shepperd"
6,2019,12,PLoS genetics,Common alleles of CMT2 and NRPE1 are major determinants of CHH methylation variation in Arabidopsis thaliana,"Austria.Vienna.Eriko.Sasaki,United States of America.California.Taiji.Kawakatsu,United States of America.California.Joseph R.Ecker,Austria.Vienna.Magnus.Nordborg"
7,2019,12,PLoS genetics,"Aspergillus fumigatus calcium-responsive transcription factors regulate cell wall architecture promoting stress tolerance, virulence and caspofungin resistance","Brazil.Ribeirão Preto.Patrícia Alves.de Castro,Brazil.Ribeirão Preto.Ana Cristina.Colabardini,Brazil.Ribeirão Preto.Adriana Oliveira.Manfiolli,Brazil.Ribeirão Preto.Jéssica.Chiaratto,Brazil.Ribeirão Preto.Lilian Pereira.Silva,Brazil.Ribeirão Preto.Eliciane Cevolani.Mattos,Brazil.São Paulo.Giuseppe.Palmisano,Brazil.Ribeirão Preto.Fausto.Almeida,Brasil.São Paulo.Gabriela Felix.Persinoti,Brazil.Ribeirão Preto.Laure Nicolas Annick.Ries,Brazil.Ribeirão Preto.Laura.Mellado,Brazil.São Paulo.Marina Campos.Rocha,United Kingdom.Manchester.Michael.Bromley,Brazil.Ribeirão Preto.Roberto Nascimento.Silva,Brazil.São José dos Campos.Gabriel Scalini.de Souza,Brazil.São José dos Campos.Flávio Vieira.Loures,Brazil.São Paulo.Iran.Malavazi,United Kingdom.Bath.Neil Andrew.Brown,Brazil.Ribeirão Preto.Gustavo H.Goldman"
8,2019,12,PLoS medicine,"Nitroglycerin for treatment of retained placenta: A randomised, placebo-controlled, multicentre, double-blind trial in the UK","United Kingdom.Edinburgh.Fiona C.Denison,United Kingdom.Edinburgh.Kathryn F.Carruthers,United Kingdom.Aberdeen.Jemma.Hudson,United Kingdom.Aberdeen.Gladys.McPherson,United Kingdom.Aberdeen.Gin Nie.Chua,United Kingdom.Edinburgh.Mathilde.Peace,United Kingdom.London.Jane.Brewin,United Kingdom.Oxford.Nina.Hallowell,United Kingdom.Aberdeen.Graham.Scotland,United Kingdom.Edinburgh.Julia.Lawton,United Kingdom.Edinburgh.John.Norrie,United Kingdom.Edinburgh.Jane E.Norman,None.None.None.None"
9,2019,12,PLoS medicine,Adherence to the 2017 French dietary guidelines and adult weight gain: A cohort study,"France.Bobigny.Dan.Chaltiel,France.Bobigny.Chantal.Julia,France.Bobigny.Moufidath.Adjibade,France.Bobigny.Mathilde.Touvier,France.Bobigny.Serge.Hercberg,France.Bobigny.Emmanuelle.Kesse-Guyot"
