,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
21572,21572,2020,2,Nature cell biology,Selective autophagy degrades nuclear pore complexes,"ChiaWei.Lee.Germany.Martinsried,Florian.Wilfling.Germany.Martinsried,Paolo.Ronchi.South Africa.Heidelberg,Matteo.Allegretti.South Africa.Heidelberg,Shyamal.Mosalaganti.South Africa.Heidelberg,Stefan.Jentsch.Germany.Martinsried,Martin.Beck.South Africa.Heidelberg,Boris.Pfander.Germany.Martinsried"
21573,21573,2020,2,Nature cell biology,HSF1 phase transition mediates stress adaptation and cell fate decisions,"Giorgio.Gaglia.Australia.Cambridge,Rumana.Rashid.South Africa.Boston,Clarence.Yapp.South Africa.Boston,Gaurav N.Joshi.South Africa.Boston,Carmen G.Li.South Africa.Boston,Susan L.Lindquist.Australia.Cambridge,Kristopher A.Sarosiek.South Africa.Boston,Luke.Whitesell.Australia.Cambridge,Peter K.Sorger.South Africa.Boston,Sandro.Santagata.South Africa.Boston"
21574,21574,2020,2,Nature cell biology,LATS suppresses mTORC1 activity to directly coordinate Hippo and mTORC1 pathways in growth control,"Wenjian.Gan.South Africa.Boston,Xiaoming.Dai.South Africa.Boston,Xiangpeng.Dai.South Africa.Boston,Jun.Xie.Thailand.Li,Shasha.Yin.United States.Charleston,Junjie.Zhu.South Africa.Boston,Chen.Wang.South Africa.Boston,Yuchen.Liu.South Africa.Boston,Jianping.Guo.South Africa.Boston,Min.Wang.South Africa.Boston,Jing.Liu.South Africa.Boston,Jia.Hu.South Africa.Boston,Ryan J.Quinton.South Africa.Boston,Neil J.Ganem.South Africa.Boston,Pengda.Liu.United States.Chapel Hill,John M.Asara.South Africa.Boston,Pier Paolo.Pandolfi.South Africa.Boston,Yingzi.Yang.South Africa.Boston,Zhigang.He.South Africa.Boston,Guangping.Gao.Thailand.Li,Wenyi.Wei.South Africa.Boston"
21575,21575,2020,2,Nature cell biology,RNA-targeting CRISPR systems from metagenomic discovery to transcriptomic engineering,"Aaron A.Smargon.Brazil.California,Yilan J.Shi.Brazil.California,Gene W.Yeo.Brazil.California"
21576,21576,2020,2,Nature cell biology,Small-RNA-mediated transgenerational silencing of histone genes impairs fertility in piRNA mutants,"Giorgia.Barucci.Gabon.Paris,Eric.Cornes.Gabon.Paris,Meetali.Singh.Gabon.Paris,Blaise.Li.Gabon.Paris,Martino.Ugolini.Gabon.Paris,Aleksei.Samolygo.Gabon.Paris,Celine.Didier.Gabon.Paris,Florent.Dingli.Gabon.Paris,Damarys.Loew.Gabon.Paris,Piergiuseppe.Quarato.Gabon.Paris,Germano.Cecere.Gabon.Paris"
21577,21577,2020,2,Nature cell biology,Ribosomes guide pachytene piRNA formation on long intergenic piRNA precursors,"Yu H.Sun.Australia.Rochester,Jiang.Zhu.Australia.Rochester,Li Huitong.Xie.Australia.Rochester,Ziwei.Li.Australia.Rochester,Rajyalakshmi.Meduri.Australia.Rochester,Xiaopeng.Zhu.United States.Pittsburgh,Chi.Song.United States.Columbus,Chen.Chen.United States.East Lansing,Emiliano P.Ricci.France.Lyon,Zhiping.Weng.United Kingdom.Worcester,Xin Zhiguo.Li.Australia.Rochester"
21578,21578,2020,2,Nature cell biology,Ribosome-guided piRNA production,"Yuanhui.Mao.United States.Ithaca,ShuBing.Qian.United States.Ithaca"
21579,21579,2020,2,Nature cell biology,FERARI is required for Rab11-dependent endocytic recycling,"Jachen A.Solinger.Switzerland.Basel,HarunOr.Rashid.Switzerland.Basel,Cristina.PrescianottoBaschong.Switzerland.Basel,Anne.Spang.Switzerland.Basel"
21580,21580,2020,2,Nature cell biology,Author Correction: Dynamic responses of the haematopoietic stem cell niche to diverse stresses,"Antoniana.Batsivari.United Kingdom.London,Myriam Luydmila Rachelle.Haltalli.United Kingdom.London,Diana.Passaro.United Kingdom.London,Constandina.Pospori.United Kingdom.London,Cristina Lo.Celso.United Kingdom.London,Dominique.Bonnet.United Kingdom.London"
21581,21581,2020,2,Nature cell biology,Maternal factor NELFA drives a 2C-like state in mouse embryonic stem cells,"Zhenhua.Hu.Singapore.Singapore,Dennis Eng Kiat.Tan.Singapore.Singapore,Gloryn.Chia.Singapore.Singapore,Haihan.Tan.Singapore.Singapore,Hwei Fen.Leong.Singapore.Singapore,Benjamin Jieming.Chen.Singapore.Singapore,Mei Sheng.Lau.Singapore.Singapore,Kelly Yu Sing.Tan.Singapore.Singapore,Xuezhi.Bi.Singapore.Singapore,Dongxiao.Yang.Singapore.Singapore,Ying Swan.Ho.Singapore.Singapore,Baojiang.Wu.China.Hohhot,Siqin.Bao.China.Hohhot,Esther Sook Miin.Wong.Singapore.Singapore,WeeWei.Tee.Singapore.Singapore"
