,Unnamed: 0,pub_year,pub_month,journal_name,paper_title,author
6453,6453,2019,9,Nature communications,Cooperation of cancer drivers with regulatory germline variants shapes clinical outcomes,"Julian$Musa$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Florencia$CidreAranaz$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#MarieMing$Aynaud$INSERM U830, Équipe Labellisée LNCC Genetics and Biology of Pediatric Cancers, PSL Research University, SIREDO Oncology Centre, Institut Curie Research Centre, Paris, France.#Martin F$Orth$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Maximilian M L$Knott$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Olivier$Mirabeau$INSERM U830, Équipe Labellisée LNCC Genetics and Biology of Pediatric Cancers, PSL Research University, SIREDO Oncology Centre, Institut Curie Research Centre, Paris, France.#Gal$Mazor$Department of Life Sciences, Ben-Gurion University of the Negev, Beer-Sheva, Israel.#Mor$Varon$Department of Life Sciences, Ben-Gurion University of the Negev, Beer-Sheva, Israel.#Tilman L B$Hlting$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Sandrine$Grossette$INSERM U830, Équipe Labellisée LNCC Genetics and Biology of Pediatric Cancers, PSL Research University, SIREDO Oncology Centre, Institut Curie Research Centre, Paris, France.#Moritz$Gartlgruber$Neuroblastoma Genomics, German Cancer Research Center (DKFZ), Heidelberg, Germany.#Didier$Surdez$INSERM U830, Équipe Labellisée LNCC Genetics and Biology of Pediatric Cancers, PSL Research University, SIREDO Oncology Centre, Institut Curie Research Centre, Paris, France.#Julia S$Gerke$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Shunya$Ohmura$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Aruna$Marchetto$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Marlene$Dallmayer$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Michaela C$Baldauf$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Stefanie$Stein$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Giuseppina$Sannino$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Jing$Li$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Laura$RomeroPrez$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Frank$Westermann$Neuroblastoma Genomics, German Cancer Research Center (DKFZ), Heidelberg, Germany.#Wolfgang$Hartmann$Division of Translational Pathology, Gerhard-Domagk Institute of Pathology, University Hospital of Münster, Münster, Germany.#Uta$Dirksen$Department of Pediatric Hematology and Oncology, University Hospital of Essen, Essen, Germany.#Melissa$Gymrek$Department of Medicine, University of California, San Diego, La Jolla, CA, USA.#Nathaniel D$Anderson$Program in Genetics and Genome Biology, The Hospital for Sick Children, Toronto, ON, Canada.#Adam$Shlien$Program in Genetics and Genome Biology, The Hospital for Sick Children, Toronto, ON, Canada.#Barak$Rotblat$Department of Life Sciences, Ben-Gurion University of the Negev, Beer-Sheva, Israel.#Thomas$Kirchner$Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany.#Olivier$Delattre$INSERM U830, Équipe Labellisée LNCC Genetics and Biology of Pediatric Cancers, PSL Research University, SIREDO Oncology Centre, Institut Curie Research Centre, Paris, France.#Thomas G P$Grnewald$Max-Eder Research Group for Pediatric Sarcoma Biology, Institute of Pathology, Faculty of Medicine, LMU Munich, Munich, Germany. thomas.gruenewald@med.uni-muenchen.de."
6454,6454,2019,9,Nature communications,Synchronous 500-year oscillations of monsoon climate and human activity in Northeast Asia,"Deke$Xu$Key Laboratory of Cenozoic Geology and Environment, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, 100029, China. ccxudeke@mail.iggcas.ac.cn.#Houyuan$Lu$Key Laboratory of Cenozoic Geology and Environment, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, 100029, China. houyuanlu@mail.iggcas.ac.cn.#Guoqiang$Chu$Key Laboratory of Cenozoic Geology and Environment, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, 100029, China.#Li$Liu$Department of East Asian Languages and Cultures, Stanford University, Stanford, CA, 94305, USA.#Caiming$Shen$Yunnan Key Laboratory of Plateau Geographical Processes and Environmental Changes, College of Tourism and Geographical Sciences, Yunnan Normal University, Kunming, 650500, China.#Fengjiang$Li$Key Laboratory of Cenozoic Geology and Environment, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, 100029, China.#Can$Wang$Department of Archaeology, School of History and Culture, Shandong University, Jinan, 250100, China.#Naiqin$Wu$Key Laboratory of Cenozoic Geology and Environment, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, 100029, China."
6455,6455,2019,9,Nature communications,Extracellular nicotinate phosphoribosyltransferase binds Toll like receptor 4 and mediates inflammation,"Antonella$Manag$Department of Medical Sciences, University of Turin, Turin, Italy.#Valentina$Audrito$Department of Medical Sciences, University of Turin, Turin, Italy.#Francesca$Mazzola$Department of Clinical Sciences, Polytechnic University of Marche, Ancona, Italy.#Leonardo$Sorci$Department of Materials, Environmental Sciences and Urban Planning, Division of Bioinformatics and Biochemistry, Polytechnic University of Marche, Ancona, Italy.#Federica$Gaudino$Department of Medical Sciences, University of Turin, Turin, Italy.#Katiuscia$Gizzi$Italian Institute for Genomic Medicine, Turin, Italy.#Nicoletta$Vitale$Department of Molecular Biotechnology and Health Sciences, University of Turin, Turin, Italy.#Danny$Incarnato$Department of Molecular Genetics, Groningen Biomolecular Sciences and Biotechnology Institute (GBB), University of Groningen, Groningen, The Netherlands.#Gabriele$Minazzato$Department of Agricultural, Food and Environmental Sciences, Polytechnic University of Marche, Ancona, Italy.#Alice$Ianniello$Department of Laboratory Medicine, Azienda Ospedaliero-Universitaria Città della Salute e della Scienza, Turin, Italy.#Antonio$Varriale$Institute of Food Science, CNR, Avellino, Italy.#Sabato$DAuria$Institute of Food Science, CNR, Avellino, Italy.#Giulio$Mengozzi$Department of Laboratory Medicine, Azienda Ospedaliero-Universitaria Città della Salute e della Scienza, Turin, Italy.#Gianfranco$Politano$Department of Control and Computer Engineering, Polytechnic University of Turin, Turin, Italy.#Salvatore$Oliviero$Italian Institute for Genomic Medicine, Turin, Italy.#Nadia$Raffaelli$Department of Agricultural, Food and Environmental Sciences, Polytechnic University of Marche, Ancona, Italy.#Silvia$Deaglio$Department of Medical Sciences, University of Turin, Turin, Italy. silvia.deaglio@unito.it."
6456,6456,2019,9,Nature communications,Author Correction: Structural basis for delta cell paracrine regulation in pancreatic islets,"Rafael Arrojo$E Drigo$Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore, 636921, Singapore.#Stefan$Jacob$Karolinska Intitutet, The Rolf Luft Research Center for Diabetes and Endocrinology, Stockholm, 171 77, Sweden.#Concha F$GarcaPrieto$Karolinska Intitutet, The Rolf Luft Research Center for Diabetes and Endocrinology, Stockholm, 171 77, Sweden.#Xiaofeng$Zheng$Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore, 636921, Singapore.#Masahiro$Fukuda$Molecular Neurophysiology Laboratory, Signature Program in Neuroscience and Behavioral Disorders, Duke-NUS Medical School, Singapore, 169857, Singapore.#Hoa Tran Thi$Nhu$Bioinformatics Institute (ASTAR) and Image and Pervasive Access Lab (IPAL), Singapore, 138632, Singapore.#Olga$Stelmashenko$Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore, 636921, Singapore.#Flavia Letcia Martins$Peanha$Universidade Federal do Rio de Janeiro (UFRJ), Rio de Janeiro, 21941-901, Brazil.#Rayner$RodriguezDiaz$Miller School of Medicine, University of Miami, Miami, 33136, USA.#Eric$Bushong$National Center for Microscopy and Imaging Research (NCMIR), University of California San Diego, San Diego, 92093, USA.#Thomas$Deerinck$National Center for Microscopy and Imaging Research (NCMIR), University of California San Diego, San Diego, 92093, USA.#Sebastien$Phan$National Center for Microscopy and Imaging Research (NCMIR), University of California San Diego, San Diego, 92093, USA.#Yusuf$Ali$Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore, 636921, Singapore.#Ingo$Leibiger$Karolinska Intitutet, The Rolf Luft Research Center for Diabetes and Endocrinology, Stockholm, 171 77, Sweden.#Minni$Chua$Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore, 636921, Singapore.#Thomas$Boudier$Bioinformatics Institute (ASTAR) and Image and Pervasive Access Lab (IPAL), Singapore, 138632, Singapore.#SangHo$Song$Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore, 636921, Singapore.#Martin$Graf$Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore, 636921, Singapore.#George J$Augustine$Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore, 636921, Singapore.#Mark H$Ellisman$National Center for Microscopy and Imaging Research (NCMIR), University of California San Diego, San Diego, 92093, USA.#PerOlof$Berggren$Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore, 636921, Singapore. per-olof.berggren@ki.se."
6457,6457,2019,9,Nature communications,CircAnks1a in the spinal cord regulates hypersensitivity in a rodent model of neuropathic pain,"SuBo$Zhang$Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Department of Rehabilitation Medicine, Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University, Guangzhou, 510120, China.#SuYan$Lin$Guangdong Province Key Laboratory of Brain Function and Disease, Department of Physiology, Zhongshan School of Medicine, Sun Yat-Sen University, Guangzhou, 510080, China.#Meng$Liu$Guangdong Province Key Laboratory of Brain Function and Disease, Department of Physiology, Zhongshan School of Medicine, Sun Yat-Sen University, Guangzhou, 510080, China.#CuiCui$Liu$Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Department of Rehabilitation Medicine, Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University, Guangzhou, 510120, China.#HuanHuan$Ding$Guangdong Province Key Laboratory of Brain Function and Disease, Department of Physiology, Zhongshan School of Medicine, Sun Yat-Sen University, Guangzhou, 510080, China.#Yang$Sun$Department of Rehabilitation Medicine, the Second Affiliated Hospital of Xi'an Medical University, Xi'an, 710038, China.#Chao$Ma$Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Department of Rehabilitation Medicine, Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University, Guangzhou, 510120, China. machao@mail.sysu.edu.cn.#RuiXian$Guo$Guangdong Province Key Laboratory of Brain Function and Disease, Department of Physiology, Zhongshan School of Medicine, Sun Yat-Sen University, Guangzhou, 510080, China.#YouYou$Lv$Neuroscience Program, Zhongshan School of Medicine, the Fifth Affiliated Hospital of Sun Yat-Sen University, Sun Yat-Sen University, Guangzhou, China.#ShaoLing$Wu$Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Department of Rehabilitation Medicine, Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University, Guangzhou, 510120, China.#Ting$Xu$Guangdong Province Key Laboratory of Brain Function and Disease, Department of Physiology, Zhongshan School of Medicine, Sun Yat-Sen University, Guangzhou, 510080, China. xuting8@mail.sysu.edu.cn.#WenJun$Xin$Guangdong Province Key Laboratory of Brain Function and Disease, Department of Physiology, Zhongshan School of Medicine, Sun Yat-Sen University, Guangzhou, 510080, China. xinwj@mail.sysu.edu.cn."
6458,6458,2019,9,Nature communications,Regulation of TRIF-mediated innate immune response by K27-linked polyubiquitination and deubiquitination,"Xin$Wu$Department of Infectious Diseases, Medical Research Institute, Zhongnan Hospital of Wuhan University, Wuhan University, 430071, Wuhan, China.#Caoqi$Lei$Department of Cell Biology, College of Life Sciences, Wuhan University, 430072, Wuhan, China.#Tian$Xia$Department of Infectious Diseases, Medical Research Institute, Zhongnan Hospital of Wuhan University, Wuhan University, 430071, Wuhan, China.#Xuan$Zhong$Department of Infectious Diseases, Medical Research Institute, Zhongnan Hospital of Wuhan University, Wuhan University, 430071, Wuhan, China.#Qing$Yang$Department of Infectious Diseases, Medical Research Institute, Zhongnan Hospital of Wuhan University, Wuhan University, 430071, Wuhan, China.#HongBing$Shu$Department of Infectious Diseases, Medical Research Institute, Zhongnan Hospital of Wuhan University, Wuhan University, 430071, Wuhan, China. shuh@whu.edu.cn."
6459,6459,2019,9,Nature communications,Aluminum with dispersed nanoparticles by laser additive manufacturing,"TingChiang$Lin$Department of Mechanical and Aerospace Engineering, University of California, Los Angeles, CA, 90095, USA.#Chezheng$Cao$Department of Materials Science and Engineering, University of California, Los Angeles, CA, 90095, USA.#Maximilian$Sokoluk$Department of Mechanical and Aerospace Engineering, University of California, Los Angeles, CA, 90095, USA.#Lin$Jiang$Department of Chemical Engineering and Materials Science, University of California, Irvine, CA, 96297, USA.#Xin$Wang$Department of Chemical Engineering and Materials Science, University of California, Irvine, CA, 96297, USA.#Julie M$Schoenung$Department of Chemical Engineering and Materials Science, University of California, Irvine, CA, 96297, USA.#Enrique J$Lavernia$Department of Chemical Engineering and Materials Science, University of California, Irvine, CA, 96297, USA.#Xiaochun$Li$Department of Mechanical and Aerospace Engineering, University of California, Los Angeles, CA, 90095, USA. xcli@seas.ucla.edu."
6460,6460,2019,9,Nature communications,Biomechanical signaling within the developing zebrafish heart attunes endocardial growth to myocardial chamber dimensions,"Dorothee$Bornhorst$Institute of Biochemistry and Biology, Potsdam University, D-14476, Potsdam, Germany.#Peng$Xia$Institute of Science and Technology Austria, 3400, Klosterneuburg, Austria.#Hiroyuki$Nakajima$Department of Cell Biology, National Cerebral and Cardiovascular Center Research Institute, Osaka, 565-8565, Japan.#Chaitanya$Dingare$Institute of Cell Biology and Neuroscience, Department of Developmental Biology of Vertebrates, Goethe Universität Frankfurt am Main, 60438, Frankfurt am Main, Germany.#Wiebke$Herzog$Max Planck Institute for Molecular Biomedicine, 48149, Münster, Germany.#Virginie$Lecaudey$Institute of Cell Biology and Neuroscience, Department of Developmental Biology of Vertebrates, Goethe Universität Frankfurt am Main, 60438, Frankfurt am Main, Germany.#Naoki$Mochizuki$Department of Cell Biology, National Cerebral and Cardiovascular Center Research Institute, Osaka, 565-8565, Japan.#CarlPhilipp$Heisenberg$Institute of Science and Technology Austria, 3400, Klosterneuburg, Austria.#Deborah$Yelon$Division of Biological Sciences, University of California, San Diego, La Jolla, CA, 92093, USA.#Salim$AbdelilahSeyfried$Institute of Biochemistry and Biology, Potsdam University, D-14476, Potsdam, Germany. salim.seyfried@uni-potsdam.de."
6461,6461,2019,9,Nature communications,Substrate-integrated photonic doping for near-zero-index devices,"Ziheng$Zhou$Department of Electronic Engineering, Tsinghua University, 100084, Beijing, China.#Yue$Li$Department of Electronic Engineering, Tsinghua University, 100084, Beijing, China. lyee@tsinghua.edu.cn.#Hao$Li$Department of Electronic Engineering, Tsinghua University, 100084, Beijing, China.#Wangyu$Sun$Department of Electronic Engineering, Tsinghua University, 100084, Beijing, China.#Iigo$Liberal$Department of Electrical and Electronic Engineering, Public University of Navarre, Pamplona, 31006, Spain.#Nader$Engheta$Department of Electrical and Systems Engineering, University of Pennsylvania, Philadelphia, PA, 19104, USA. engheta@ee.upenn.edu."
6462,6462,2019,9,Nature communications,Oligodendrocytes express synaptic proteins that modulate myelin sheath formation,"Alexandria N$Hughes$University of Colorado School of Medicine, Anschutz Medical Campus, Aurora, CO, 80045, USA.#Bruce$Appel$University of Colorado School of Medicine, Anschutz Medical Campus, Aurora, CO, 80045, USA. bruce.appel@cuanschutz.edu."
