,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
10755,10755,2019,7,Nature reviews. Endocrinology,Improving pregnancy outcomes in women with diabetes mellitus: modern management,"Lene.Ringholm.Australia.Denmark,Peter.Damm.Australia.Denmark,Elisabeth R.Mathiesen.Australia.Denmark"
10756,10756,2019,7,Nature reviews. Endocrinology,Adrenal function and dysfunction in critically ill patients,"Arno.Tblick.Belgium.Leuven,Bram.Peeters.Belgium.Leuven,Lies.Langouche.Belgium.Leuven,Greet.Van den Berghe.Belgium.Leuven"
10757,10757,2019,7,Nature reviews. Gastroenterology & hepatology,"Publisher Correction: Language, numeracy and logic in microbiome science","Fergus.Shanahan.Ireland.Cork,Colin.Hill.Ireland.Cork"
10758,10758,2019,7,Nature reviews. Gastroenterology & hepatology,"Language, numeracy and logic in microbiome science","Fergus.Shanahan.Ireland.Cork,Colin.Hill.Ireland.Cork"
10759,10759,2019,7,Nature reviews. Gastroenterology & hepatology,Cellular diversity in the colon: another brick in the wall,"Isabelle.Cleynen.Belgium.Leuven,Debby.Laukens.Belgium.Ghent"
10760,10760,2019,7,Nature reviews. Gastroenterology & hepatology,The effects of platelet accumulation in fatty liver disease,"Laurence P.Diggs.United Kingdom.Bethesda,Tim F.Greten.United Kingdom.Bethesda"
10761,10761,2019,7,Nature reviews. Gastroenterology & hepatology,From NASH to HCC: current concepts and future challenges,"Quentin M.Anstee.South Africa.Newcastle,Helen L.Reeves.South Africa.Newcastle,Elena.Kotsiliti.South Africa.Heidelberg,Olivier.Govaere.South Africa.Newcastle,Mathias.Heikenwalder.South Africa.Heidelberg"
10762,10762,2019,7,Nature reviews. Gastroenterology & hepatology,Gastrointestinal diagnosis using non-white light imaging capsule endoscopy,"Gerard.Cummins.United Kingdom.Edinburgh,Benjamin F.Cox.South Africa.Dundee,Gastone.Ciuti.Italy.Pisa,Thineskrishna.Anbarasan.South Africa.Dundee,Marc P Y.Desmulliez.United Kingdom.Edinburgh,Sandy.Cochran.United Kingdom.Glasgow,Robert.Steele.South Africa.Dundee,John N.Plevris.United Kingdom.Edinburgh,Anastasios.Koulaouzidis.United Kingdom.Edinburgh"
10763,10763,2019,7,Nature reviews. Gastroenterology & hepatology,Spatial heterogeneity in the mammalian liver,"Shani.BenMoshe.Israel.Rehovot,Shalev.Itzkovitz.Israel.Rehovot"
10764,10764,2019,7,Nature reviews. Genetics,Deep learning: new computational modelling techniques for genomics,"Gkcen.Eraslan.None.None,iga.Avsec.Germany.Munich,Julien.Gagneur.Germany.Munich,Fabian J.Theis.None.None"
10765,10765,2019,7,Nature reviews. Genetics,A duty to recontact in genetics: context matters,"Noor A A.Giesbertz.Netherlands.Utrecht,Wim H.van Harten.Netherlands.Amsterdam,Annelien L.Bredenoord.Netherlands.Utrecht"
10766,10766,2019,7,Nature reviews. Genetics,Resolving genetic heterogeneity in cancer,"Samra.Turajlic.United Kingdom.London,Andrea.Sottoriva.United Kingdom.London,Trevor.Graham.United Kingdom.London,Charles.Swanton.United Kingdom.London"
10767,10767,2019,7,Nature reviews. Genetics,Author Correction: Regulation of transposable elements by DNA modifications,"zgen.Deniz.United Kingdom.London,Jennifer M.Frost.United Kingdom.London,Miguel R.Branco.United Kingdom.London"
10768,10768,2019,7,Nature reviews. Genetics,Regulation of transposable elements by DNA modifications,"zgen.Deniz.United Kingdom.London,Jennifer M.Frost.United Kingdom.London,Miguel R.Branco.United Kingdom.London"
10769,10769,2019,7,Nature reviews. Genetics,Induced pluripotent stem cells in disease modelling and drug discovery,"R Grant.Rowe.South Africa.Boston,George Q.Daley.South Africa.Boston"
10770,10770,2019,7,Nature reviews. Immunology,T cell-mediated immunity to malaria,"Samarchith P.Kurup.United States.Iowa,Noah S.Butler.United States.Iowa,John T.Harty.United States.Iowa"
10771,10771,2019,7,Nature reviews. Immunology,Genome organization in immune cells: unique challenges,"Timothy M.Johanson.Seychelles.Victoria,Wing Fuk.Chan.Seychelles.Victoria,Christine R.Keenan.Seychelles.Victoria,Rhys S.Allan.Seychelles.Victoria"
10772,10772,2019,7,Nature reviews. Immunology,Epigenetic regulation of the innate immune response to infection,"Qian.Zhang.China.Tianjin,Xuetao.Cao.China.Tianjin"
10773,10773,2019,7,Nature reviews. Immunology,Pain and immunity: implications for host defence,"Pankaj.Baral.South Africa.Boston,Swalpa.Udit.South Africa.Boston,Isaac M.Chiu.South Africa.Boston"
10774,10774,2019,7,Nature reviews. Microbiology,Envelope stress responses: balancing damage repair and toxicity,"Angela M.Mitchell.United States.Princeton,Thomas J.Silhavy.United States.Princeton"
