,Unnamed: 0,pub_year,pub_month,journal_name,paper_title,author
10755,10755,2019,7,Nature reviews. Endocrinology,Improving pregnancy outcomes in women with diabetes mellitus: modern management,"Lene$Ringholm$Center for Pregnant Women with Diabetes, Rigshospitalet, Copenhagen, Denmark. enel@dadlnet.dk.#Peter$Damm$Center for Pregnant Women with Diabetes, Rigshospitalet, Copenhagen, Denmark.#Elisabeth R$Mathiesen$Center for Pregnant Women with Diabetes, Rigshospitalet, Copenhagen, Denmark."
10756,10756,2019,7,Nature reviews. Endocrinology,Adrenal function and dysfunction in critically ill patients,"Arno$Tblick$Clinical Division and Laboratory of Intensive Care Medicine, Department of Cellular and Molecular Medicine, KU Leuven University, Leuven, Belgium.#Bram$Peeters$Clinical Division and Laboratory of Intensive Care Medicine, Department of Cellular and Molecular Medicine, KU Leuven University, Leuven, Belgium.#Lies$Langouche$Clinical Division and Laboratory of Intensive Care Medicine, Department of Cellular and Molecular Medicine, KU Leuven University, Leuven, Belgium.#Greet$Van den Berghe$Clinical Division and Laboratory of Intensive Care Medicine, Department of Cellular and Molecular Medicine, KU Leuven University, Leuven, Belgium. greet.vandenberghe@kuleuven.be."
10757,10757,2019,7,Nature reviews. Gastroenterology & hepatology,"Publisher Correction: Language, numeracy and logic in microbiome science","Fergus$Shanahan$Department of Medicine, University College Cork, Cork, Ireland. F.shanahan@ucc.ie.#Colin$Hill$Department of Microbiology, University College Cork, Cork, Ireland."
10758,10758,2019,7,Nature reviews. Gastroenterology & hepatology,"Language, numeracy and logic in microbiome science","Fergus$Shanahan$Department of Medicine, University College Cork, Cork, Ireland. F.shanahan@ucc.ie.#Colin$Hill$Department of Microbiology, University College Cork, Cork, Ireland."
10759,10759,2019,7,Nature reviews. Gastroenterology & hepatology,Cellular diversity in the colon: another brick in the wall,"Isabelle$Cleynen$Laboratory for complex genetics, Department of Human Genetics, KU Leuven, Leuven, Belgium. Isabelle.cleynen@kuleuven.be.#Debby$Laukens$Department of Gastroenterology, Ghent University and VIB Center for Inflammation Research, Ghent, Belgium."
10760,10760,2019,7,Nature reviews. Gastroenterology & hepatology,The effects of platelet accumulation in fatty liver disease,"Laurence P$Diggs$Thoracic and GI Malignancies Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA.#Tim F$Greten$Thoracic and GI Malignancies Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA. tim.greten@nih.gov."
10761,10761,2019,7,Nature reviews. Gastroenterology & hepatology,From NASH to HCC: current concepts and future challenges,"Quentin M$Anstee$Institute of Cellular Medicine, Faculty of Medical Sciences, Newcastle University, Newcastle upon Tyne, UK. quentin.anstee@newcastle.ac.uk.#Helen L$Reeves$The Liver Unit, Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Newcastle upon Tyne, UK.#Elena$Kotsiliti$Division of Chronic Inflammation and Cancer, German Cancer Research Center (DKFZ), Heidelberg, Germany.#Olivier$Govaere$Institute of Cellular Medicine, Faculty of Medical Sciences, Newcastle University, Newcastle upon Tyne, UK.#Mathias$Heikenwalder$Division of Chronic Inflammation and Cancer, German Cancer Research Center (DKFZ), Heidelberg, Germany. m.heikenwaelder@dkfz.de."
10762,10762,2019,7,Nature reviews. Gastroenterology & hepatology,Gastrointestinal diagnosis using non-white light imaging capsule endoscopy,"Gerard$Cummins$School of Engineering and Physical Sciences, Heriot-Watt University, Edinburgh, UK. g.cummins@hw.ac.uk.#Benjamin F$Cox$School of Medicine, University of Dundee, Dundee, UK.#Gastone$Ciuti$The BioRobotics Institute, Scuola Superiore Sant'Anna, Pisa, Italy.#Thineskrishna$Anbarasan$School of Medicine, University of Dundee, Dundee, UK.#Marc P Y$Desmulliez$School of Engineering and Physical Sciences, Heriot-Watt University, Edinburgh, UK.#Sandy$Cochran$School of Engineering, University of Glasgow, Glasgow, UK.#Robert$Steele$School of Medicine, University of Dundee, Dundee, UK.#John N$Plevris$Centre for Liver and Digestive Disorders, The Royal Infirmary of Edinburgh, Edinburgh, UK.#Anastasios$Koulaouzidis$Endoscopy Unit, The Royal Infirmary of Edinburgh, Edinburgh, UK."
10763,10763,2019,7,Nature reviews. Gastroenterology & hepatology,Spatial heterogeneity in the mammalian liver,"Shani$BenMoshe$Department of Molecular Cell Biology, Weizmann Institute of Science, Rehovot, Israel.#Shalev$Itzkovitz$Department of Molecular Cell Biology, Weizmann Institute of Science, Rehovot, Israel. shalev.itzkovitz@weizmann.ac.il."
10764,10764,2019,7,Nature reviews. Genetics,Deep learning: new computational modelling techniques for genomics,"Gkcen$Eraslan$Institute of Computational Biology, Helmholtz Zentrum München, Neuherberg, Germany.#iga$Avsec$Department of Informatics, Technical University of Munich, Garching, Germany.#Julien$Gagneur$Department of Informatics, Technical University of Munich, Garching, Germany. gagneur@in.tum.de.#Fabian J$Theis$Institute of Computational Biology, Helmholtz Zentrum München, Neuherberg, Germany. fabian.theis@helmholtz-muenchen.de."
