,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
12905,12905,2019,5,Nature communications,Tuning the permselectivity of polymeric desalination membranes via control of polymer crystallite size,"Xinglin.Lu.United States.New Haven,Xunda.Feng.United States.New Haven,Yi.Yang.China.Harbin,Jin.Jiang.China.Harbin,Wei.Cheng.China.Harbin,Caihong.Liu.China.Harbin,Manesh.Gopinadhan.United States.New Haven,Chinedum O.Osuji.United States.New Haven,Jun.Ma.China.Harbin,Menachem.Elimelech.United States.New Haven"
12906,12906,2019,5,Nature communications,The FANCM-BLM-TOP3A-RMI complex suppresses alternative lengthening of telomeres (ALT),"Robert.Lu.Australia.Westmead,Julienne J.ORourke.Australia.Fitzroy,Alexander P.Sobinoff.Australia.Westmead,Joshua A M.Allen.Australia.Westmead,Christopher B.Nelson.Australia.Westmead,Christopher G.Tomlinson.Australia.Westmead,Michael.Lee.Australia.Westmead,Roger R.Reddel.Australia.Westmead,Andrew J.Deans.Australia.Fitzroy,Hilda A.Pickett.Australia.Westmead"
12907,12907,2019,5,Nature communications,Blimp1<sup>+</sup> cells generate functional mouse sebaceous gland organoids in vitro,"Alona.Feldman.Israel.Haifa,Dzmitry.Mukha.Israel.Haifa,Itzhak I.Maor.Israel.Haifa,Egor.Sedov.Israel.Haifa,Elle.Koren.Israel.Haifa,Yahav.Yosefzon.Israel.Haifa,Tomer.Shlomi.Israel.Haifa,Yaron.Fuchs.Israel.Haifa"
12908,12908,2019,5,Nature communications,FANCM limits ALT activity by restricting telomeric replication stress induced by deregulated BLM and R-loops,"Bruno.Silva.Portugal.Portugal,Richard.Pentz.Portugal.Portugal,Ana Margarida.Figueira.Portugal.Portugal,Rajika.Arora.Portugal.Portugal,Yong Woo.Lee.Portugal.Portugal,Charlotte.Hodson.Australia.Fitzroy,Harry.Wischnewski.None.None,Andrew J.Deans.Australia.Fitzroy,Claus M.Azzalin.Portugal.Portugal"
12909,12909,2019,5,Nature communications,SORLA regulates endosomal trafficking and oncogenic fitness of HER2,"Mika.Pietil.Finland.Turku,Pranshu.Sahgal.Finland.Turku,Emilia.Peuhu.Finland.Turku,Niklas Z.Jntti.Finland.Turku,Ilkka.Paatero.Finland.Turku,Elisa.Nrv.Finland.Turku,Hussein.AlAkhrass.Finland.Turku,Johanna.Lilja.Finland.Turku,Maria.Georgiadou.Finland.Turku,Olav M.Andersen.Australia.Denmark,Artur.Padzik.Finland.Turku,Harri.Sihto.Finland.Helsinki,Heikki.Joensuu.Finland.Helsinki,Matias.Blomqvist.Finland.Turku,Irena.Saarinen.Finland.Turku,Peter J.Bostrm.Finland.Turku,Pekka.Taimen.Finland.Turku,Johanna.Ivaska.Finland.Turku"
12910,12910,2019,5,Nature communications,Bcl10-controlled Malt1 paracaspase activity is key for the immune suppressive function of regulatory T cells,"Marc.Rosenbaum.Germany.Munich,Andreas.Gewies.Germany.Munich,Konstanze.Pechloff.Germany.Munich,Christoph.Heuser.Germany.Munich,Thomas.Engleitner.Germany.Munich,Torben.Gehring.None.None,Lara.Hartjes.Germany.Munich,Sabrina.Krebs.Germany.Munich,Daniel.Krappmann.None.None,Mark.Kriegsmann.South Africa.Heidelberg,Wilko.Weichert.Germany.Munich,Roland.Rad.Germany.Munich,Christian.Kurts.Germany.Bonn,Jrgen.Ruland.Germany.Munich"
12911,12911,2019,5,Nature communications,Synergistic and antagonistic impacts of suspended sediments and thermal stress on corals,"Rebecca.Fisher.United Kingdom.Crawley,Pia.BessellBrowne.United Kingdom.Crawley,Ross.Jones.United Kingdom.Crawley"
12912,12912,2019,5,Nature communications,Infinitesimal sulfur fusion yields quasi-metallic bulk silicon for stable and fast energy storage,"Jaegeon.Ryu.Korea, Republic of.Pohang,Ji Hui.Seo.Korea, Republic of.Ulsan,Gyujin.Song.Korea, Republic of.Ulsan,Keunsu.Choi.Korea, Republic of.Ulsan,Dongki.Hong.Korea, Republic of.Ulsan,Chongmin.Wang.United States.Richland,Hosik.Lee.Korea, Republic of.Ulsan,Jun Hee.Lee.Korea, Republic of.Ulsan,Soojin.Park.Korea, Republic of.Pohang"
12913,12913,2019,5,PLoS biology,Genotype network intersections promote evolutionary innovation,"Devin P.Bendixsen.Netherlands.America,James.Collet.Netherlands.America,Bjrn.stman.Australia.Claremont,Eric J.Hayden.Netherlands.America"
12914,12914,2019,5,PLoS biology,Surviving starvation simply without TFEB,"Alexander A.Soukas.South Africa.Boston,Ben.Zhou.South Africa.Boston"
12915,12915,2019,5,PLoS biology,AccessLab: Workshops to broaden access to scientific research,"Amber G F.Griffiths.Canada.Cornwall,Ivvet.Modinou.United Kingdom.London,Clio.Heslop.United Kingdom.London,Charlotte.Brand.United Kingdom.Exeter,Aidan.Weatherill.Canada.Cornwall,Kate.Baker.United Kingdom.Exeter,Anna E.Hughes.United Kingdom.Exeter,Jen.Lewis.United Kingdom.Exeter,Lee.de Mora.United Kingdom.Plymouth,Sara.Mynott.United Kingdom.Exeter,Katherine E.Roberts.United Kingdom.Exeter,David J.Griffiths.Canada.Cornwall"
12916,12916,2019,5,PLoS computational biology,Comprehensively benchmarking applications for detecting copy number variation,"Le.Zhang.China.Chengdu,Wanyu.Bai.China.Chengdu,Na.Yuan.China.Beijing,Zhenglin.Du.China.Beijing"
12917,12917,2019,5,PLoS computational biology,Sparse discriminative latent characteristics for predicting cancer drug sensitivity from genomic features,"David A.Knowles.United Kingdom.Stanford,Gina.Bouchard.United Kingdom.Stanford,Sylvia.Plevritis.United Kingdom.Stanford"
12918,12918,2019,5,PLoS genetics,MNM and SNM maintain but do not establish achiasmate homolog conjunction during Drosophila male meiosis,"Michael Shoujie.Sun.Switzerland.Zurich,Joe.Weber.Switzerland.Zurich,Ariane C.Blattner.Switzerland.Zurich,Soumya.Chaurasia.Switzerland.Zurich,Christian F.Lehner.Switzerland.Zurich"
12919,12919,2019,5,PLoS genetics,Identification and validation of genetic variants predictive of gait in standardbred horses,"Annette M.McCoy.Netherlands.America,Samantha K.Beeson.Netherlands.America,CarlJohan.Rubin.Sweden.Uppsala,Leif.Andersson.Sweden.Uppsala,Paul.Caputo.Portugal.Paul,Sigrid.Lykkjen.Norway.Oslo,Alison.Moore.Australia.Cambridge,Richard J.Piercy.United Kingdom.London,James R.Mickelson.Netherlands.America,Molly E.McCue.Netherlands.America"
12920,12920,2019,5,PLoS genetics,A statistical model for reference-free inference of archaic local ancestry,"Arun.Durvasula.Brazil.California,Sriram.Sankararaman.Brazil.California"
12921,12921,2019,5,PLoS genetics,Genetic analyses led to the discovery of a super-active mutant of the RNA polymerase I,"Tommy.Darrire.France.Toulouse,Michael.Pilsl.Germany.Regensburg,MarieKerguelen.Sarthou.France.Toulouse,Adrien.Chauvier.France.Toulouse,Titouan.Genty.France.Toulouse,Sylvain.Audibert.France.Toulouse,Christophe.Dez.France.Toulouse,Isabelle.LgerSilvestre.France.Toulouse,Christophe.Normand.France.Toulouse,Anthony K.Henras.France.Toulouse,Marta.Kwapisz.France.Toulouse,Olga.Calvo.Spain.Salamanca,Carlos.FernndezTornero.Spain.Madrid,Herbert.Tschochner.Germany.Regensburg,Olivier.Gadal.France.Toulouse"
