,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
2151,2151,2019,11,Nature communications,An open source automated tumor infiltrating lymphocyte algorithm for prognosis in melanoma,"Balazs.Acs.United States.New Haven,Fahad Shabbir.Ahmed.United States.New Haven,Swati.Gupta.United States.New Haven,Pok Fai.Wong.United States.New Haven,Robyn D.Gartrell.United Kingdom.New York,Jaya.Sarin Pradhan.Kazakhstan.Oral,Emanuelle M.Rizk.United Kingdom.New York,Bonnie.Gould Rothberg.United States.New Haven,Yvonne M.Saenger.United Kingdom.New York,David L.Rimm.United States.New Haven"
2152,2152,2019,11,Nature communications,A high-throughput screen identifies that CDK7 activates glucose consumption in lung cancer cells,"Chiara.Ghezzi.Brazil.California,Alicia.Wong.Brazil.California,Bao Ying.Chen.Brazil.California,Bernard.Ribalet.Brazil.California,Robert.Damoiseaux.Brazil.California,Peter M.Clark.Brazil.California"
2153,2153,2019,11,Nature communications,Imaging and writing magnetic domains in the non-collinear antiferromagnet Mn<sub>3</sub>Sn,"Helena.Reichlova.Germany.Dresden,Tomas.Janda.Czechia.Prague,Joao.Godinho.Czechia.Prague,Anastasios.Markou.Germany.Dresden,Dominik.Kriegner.None.None,Richard.Schlitz.Germany.Dresden,Jakub.Zelezny.None.None,Zbynek.Soban.None.None,Mauricio.Bejarano.Germany.Dresden,Helmut.Schultheiss.Germany.Dresden,Petr.Nemec.Czechia.Prague,Tomas.Jungwirth.None.None,Claudia.Felser.Germany.Dresden,Joerg.Wunderlich.None.None,Sebastian T B.Goennenwein.Germany.Dresden"
2154,2154,2019,11,Nature communications,Acoustic enrichment can enhance fish community development on degraded coral reef habitat,"Timothy A C.Gordon.United Kingdom.Exeter,Andrew N.Radford.United Kingdom.Bristol,Isla K.Davidson.United Kingdom.Bristol,Kasey.Barnes.Australia.Townsville,Kieran.McCloskey.United Kingdom.Exeter,Sophie L.Nedelec.United Kingdom.Exeter,Mark G.Meekan.Australia.Perth,Mark I.McCormick.Australia.Townsville,Stephen D.Simpson.United Kingdom.Exeter"
2155,2155,2019,11,Nature communications,Southern Africa crustal anisotropy reveals coupled crust-mantle evolution for over 2 billion years,"H.Thybo.China.Wuhan,M.Youssof.Saudi Arabia.Thuwal,I M.Artemieva.United Kingdom.Stanford"
2156,2156,2019,11,Nature communications,Chemical unfolding of protein domains induces shape change in programmed protein hydrogels,"Luai R.Khoury.Nigeria.Maryland,Ionel.Popa.Nigeria.Maryland"
2157,2157,2019,11,Nature communications,Efficient upgrading of CO to C<sub>3</sub> fuel using asymmetric C-C coupling active sites,"Xue.Wang.Australia.Toronto,Ziyun.Wang.Australia.Toronto,TaoTao.Zhuang.Australia.Toronto,CaoThang.Dinh.Australia.Toronto,Jun.Li.Australia.Toronto,DaeHyun.Nam.Australia.Toronto,Fengwang.Li.Australia.Toronto,ChunWei.Huang.China.Taiwan,ChihShan.Tan.Australia.Toronto,Zitao.Chen.United States.Center,Miaofang.Chi.United States.Center,Christine M.Gabardo.Australia.Toronto,Ali.Seifitokaldani.Australia.Toronto,Petar.Todorovi.Australia.Toronto,Andrew.Proppe.Australia.Toronto,Yuanjie.Pang.Australia.Toronto,Ahmad R.Kirmani.United States.Gaithersburg,Yuhang.Wang.Australia.Toronto,Alexander H.Ip.Australia.Toronto,Lee J.Richter.United States.Gaithersburg,Benjamin.Scheffel.Australia.Toronto,Aoni.Xu.Australia.Toronto,ShenChuan.Lo.China.Taiwan,Shana O.Kelley.Australia.Toronto,David.Sinton.Australia.Toronto,Edward H.Sargent.Australia.Toronto"
2158,2158,2019,11,Science advances,Highly efficient hot electron harvesting from graphene before electron-hole thermalization,"Yuzhong.Chen.China.Hangzhou,Yujie.Li.China.Hangzhou,Yida.Zhao.China.Hangzhou,Hongzhi.Zhou.China.Hangzhou,Haiming.Zhu.China.Hangzhou"
2159,2159,2019,11,Science advances,Trace CO<sub>2</sub> capture by an ultramicroporous physisorbent with low water affinity,"Soumya.Mukherjee.Ireland.Limerick,Nivedita.Sikdar.Ireland.Limerick,Daniel.ONolan.Ireland.Limerick,Douglas M.Franz.United States.Tampa,Victoria.Gascn.Ireland.Limerick,Amrit.Kumar.Ireland.Limerick,Naveen.Kumar.Ireland.Limerick,Hayley S.Scott.United Kingdom.Canterbury,David G.Madden.Ireland.Limerick,Paul E.Kruger.United Kingdom.Canterbury,Brian.Space.United States.Tampa,Michael J.Zaworotko.Ireland.Limerick"
2160,2160,2019,11,Science advances,Sculpted grain boundaries in soft crystals,"Xiao.Li.United States.Chicago,Jos A.MartnezGonzlez.Philippines.San Luis,Orlando.Guzmn.None.None,Xuedan.Ma.United States.Center,Kangho.Park.United States.Chicago,Chun.Zhou.United States.Chicago,Yu.Kambe.United States.Chicago,Hyeong Min.Jin.United States.Chicago,James A.Dolan.United States.Chicago,Paul F.Nealey.United States.Chicago,Juan J.de Pablo.United States.Chicago"
